Cours;Intit.Complet
WPSAD2392;Stages cliniques de psychiatrie de l'adulte, 2e année, 2e partie 
WPSAD2393;Stages cliniques de psychiatrie de l'adulte, 3e année, 2e partie 
WPSAD2394;Stages cliniques de psychiatrie de l'adulte, 4e année, 2e partie 
WPSAD2395;Stages cliniques de psychiatrie de l'adulte, 5e année, 2e partie 
WPSIN2312;Questions particulières de psychiatrie, orientation psychiatrie infanto-juvénile, 2e année 
WPSIN2313;Questions particulières de psychiatrie, orientation psychiatrie infanto-juvénile, 3e année (U ou IU) 
WPSIN2314;Questions particulières de psychiatrie, orientation psychiatrie infanto-juvénile, 4e année (U ou IU) 
WPSIN2315;Questions particulières de psychiatrie, orientation psychiatrie infanto-juvénile, 5e année (U ou IU) 
WPSIN2372;Travail de psychiatrie, orientation psychiatrie infanto-juvénile 1re partie 
WPSIN2373;Travail de psychiatrie, orientation psychiatrie infanto-juvénile 2e partie 
WPSIN2374;Travail de psychiatrie, orientation psychiatrie infanto-juvénile 3e partie 
WPSIN2375;Travail de psychiatrie, orientation psychiatrie infanto-juvénile, dernière partie 
WPSIN2382;Stages cliniques de psychiatrie infanto-juvénile 2e année, 1re partie 
WPSIN2383;Stages cliniques de psychiatrie infanto-juvénile 3e année, 1re  partie 
WPSIN2384;Stages cliniques de psychiatrie infanto-juvénile 4e année, 1re  partie 
WPSIN2385;Stages cliniques de psychiatrie infanto-juvénile 5e année, 1re  partie 
WPSIN2392;Stages cliniques de psychiatrie infanto-juvénile 2e année, 2e partie 
WPSIN2393;Stages cliniques de psychiatrie infanto-juvénile 3e année, 2° partie 
WPSIN2394;Stages cliniques de psychiatrie infanto-juvénile 4e année, 2° partie 
WPSIN2395;Stages cliniques de psychiatrie infanto-juvénile 5e année, 2° partie 
WPSYC2143;Introduction à la psychosomatique - psychanalyse 
WPSYC2144;Psychosomatique II : pathologies médicales fonctionnnelles, psychothérapie systémique et comportementale 
WPSYC2151;Psychiatrie infantile : psychopathologie de la vie quotidienne 
WPSYC2152;Psychiatrie infantile : syndromes psychiatriques et psychosomatiques infantiles 
WPSYC2171;Traitements psychopharmacologiques 
WPSYC2172;Techniques de psychiatrie biologique et imagerie en psychiatrie 
WPSYC2190;Psychiatrie de l'adolescent et du jeune adulte 
WPSYC2211;Organisation des services de santé mentale 
WPSYC2212;Assuétudes et troubles alimentaires 
WPSYC2213;Troubles anxio-dépressifs 
WRDGN2120;Neuroradiologie 
WRDGN2130;Compléments d'imagerie médicale 
WRDGN2311;Questions spéciales de radiodiagnostic (U et IU) 1re année 
WRDGN2312;Questions spéciales de radiodiagnostic (U et IU) 2° année 
WRDGN2313;Questions spéciales de radiodiagnostic (U et IU), 3° année 
WRDGN2314;Questions spéciales de radiodiagnostic (U et IU), 4° année 
WRDGN2315;Questions spéciales de radiodiagnostic (U et IU), 5° année 
WRDGN2325;Mémoire de radiodiagnostic 
WRDGN2381;Stages cliniques de radiodiagnostic 1re année, 1re partie 
WRDGN2382;Stages cliniques de radiodiagnostic 2° année, 1re partie 
WRDGN2383;Stages cliniques de radiodiagnostic, 3° année, 1re partie 
WRDGN2384;Stages cliniques de radiodiagnostic, 4° année, 1re partie 
WRDGN2385;Stages cliniques de radiodiagnostic, 5° année, 1re partie 
WRDGN2391;Stages cliniques de radiodiagnostic 1re année, 2° partie 
WRDGN2392;Stages cliniques de radiodiagnostic 2° année, 2° partie 
WRDGN2393;Stages cliniques de radiodiagnostic, 3° année, 2° partie 
WRDGN2394;Stages cliniques de radiodiagnostic, 4° année, 2° partie 
WRDGN2395;Stages cliniques de radiodiagnostic, 5° année, 2° partie 
WRDGN3120;Principes, techniques et contrôle de qualité en imagerie médicale 
WRDTH2120;Compléments de cancérologie 
WRDTH2311;Questions spéciales de radiothérapie-oncologie, 1re année (enseignement IU-ABRO- et séminaires cliniques multidisciplinaires) 
WRDTH2312;Questions spéciales de de radiothérapie-oncologie 2e année (enseignement IU -ABRO- et séminaires cliniques multidisciplinaires) 
WRDTH2313;Questions spéciales de radiothérapie-oncologie 3e année (enseignement U ou IU -ABRO- et séminaires cliniques multidisciplinaires) 
WRDTH2314;Questions spéciales de radiothérapie-oncologie 4e année  (enseignement U ou IU -ABRO- et séminaires cliniques multidisciplinaires) 
WRDTH2315;Questions spéciales de radiothérapie-oncologie 5e année  (enseignement U ou IU -ABRO- et séminaires cliniques multidisciplinaires) 
WRDTH2331;Radiobiology 
WRDTH2375;Mémoire de radiothérapie-oncologie 
WRDTH2381;Stages cliniques de radiothérapie-oncologie 1re année, 1re partie 
WRDTH2382;Stages cliniques de radiothérapie-oncologie 2e année, 1re partie 
WRDTH2383;Stages cliniques de radiothérapie-oncologie 3e année, 1re partie 
WRDTH2384;Stages cliniques de radiothérapie-oncologie 4e année, 1re partie 
WRDTH2385;Stages cliniques de radiothérapie-oncologie 5e année, 1re partie 
WRDTH2391;Stages cliniques de radiothérapie-oncologie 1re année, 2e partie 
WRDTH2392;Stages cliniques de radiothérapie-oncologie 2e année, 2e partie 
WRDTH2393;Stages cliniques de radiothérapie-oncologie 3e année, 2e partie 
WRDTH2394;Stages cliniques de radiothérapie-oncologie 4e année, 2e partie 
WRDTH2395;Stages cliniques de radiothérapie-oncologie 5e année, 2e partie 
WRDTH3120;Fundamental of dosimetry 
WRDTH3152;Compléments de chimiothérapie et d'hormonothérapie antitumorales 
WRDTH3160;Technology, Dosimetry and Treatment Planning in Radiotherapy 
WRDTH3161;Quality assurance and special techniques in radiotherapy 
WREAN2311;Questions approfondies de soins intensifs (U ou IU), 1ère année 
WREAN2312;Questions approfondies de soins intensifs (U ou IU), 2ème année 
WREAN2372;Travail de fin d'études en soins intensifs (publication) 
WREAN2381;Stages cliniques de soins intensifs, 1ère année, 1ère partie 
WREAN2382;Stages cliniques de soins intensifs, 2ème année, 1ère partie 
WREAN2391;Stages cliniques de soins intensifs, 1ère année, 2ème partie 
WREAN2392;Stages cliniques de soins intensifs, 2ème année, 2ème partie 
WRFAR2100; Radiochimie, radiotoxicologie et radiopharmacie
WRPR2001;Notions de base de radioprotection 
WRPR2002;Compléments de radioprotection 
WRPR2120;Evaluation des risques de rejets radioactifs dans l'environnement en situation normale et accidentelle et plans d'urgence pour les risques nucléaires 
WRPR2201;Stage 
WRPR2330;Utilisation des radioisotopes et des molécules marquées en biologie 
WRPR3010; Questions spéciales de radioprotection
WRPR3200;Mémoire 
WRPR3201;Stage 
WRUMA2314;Questions approfondies de rhumatologie 4e année 
WRUMA2315;Questions approfondies de rhumatologie 5e année 
WRUMA2316;Questions approfondies de rhumatologie 6e année 
WRUMA2376;Mémoire de rhumatologie 
WRUMA2384;Stages cliniques de rhumatologie 4e année, 1er partie 
WRUMA2385;Stages cliniques de rhumatologie 5e année, 1re partie 
WRUMA2386;Stages cliniques de rhumatologie 6e année, 1re partie 
WRUMA2394;Stages cliniques de rhumatologie 4e année, 2e partie 
WRUMA2395;Stages cliniques de rhumatologie 5e année, 2e partie 
WRUMA2396;Stages cliniques de rhumatologie 6e année, 2e partie 
WRXU2900;Stages 
WSBIM1200;Analyse instrumentale biomédicale et radioprotection 
WSBIM1201; Physiologie générale
WSBIM1203;Histologie spéciale et hématologie 
WSBIM1205;Introduction à la toxicologie 
WSBIM1206;Du nutriment à l'aliment 
WSBIM1207;Introduction à la bio-informatique 
WSBIM1211;Méthodologie de la biologie cellulaire et moléculaire 
WSBIM1220;Neurobiologie 
WSBIM1226; Biologie moléculaire (dont l'épigénétique) et travaux dirigés
WSBIM1227;Biologie moléculaire et biochimie intégrée 
WSBIM1293;Stage de biologie cellulaire 
WSBIM1301;Pharmacologie 1re partie 
WSBIM1302;Virologie moléculaire 
WSBIM1305;Introduction à la nutrition humaine 
WSBIM1306;Atelier d'histologie et d'anatomie pathologique 
WSBIM1310;Embryologie 
WSBIM1313;Design expérimental en sciences biomédicales 
WSBIM1320;Introduction aux approches expérimentales de la biologie cellulaire et moléculaire 
WSBIM1322;Bioinformatique 
WSBIM1323;Neurosciences systémiques 
WSBIM1334; Immunologie générale
WSBIM1335;Introduction à la physiopathologie 
WSBIM1382;Génétique et biotechnologie appliquée 
WSBIM1393;Stage d'immersion 
WSBIM2060;Mémoire bibliographique en sciences biomédicales 
WSBIM2061;Séminaire d'accompagnement du mémoire en sciences biomédicales 
WSBIM2112;Biologie cellulaire et moléculaire : systèmes expérimentaux 
WSBIM2114;Analysis of gene expression and function 
WSBIM2115;Protein structure / Function relationships 
WSBIM2116;Maladies inflammatoires, auto-immunitaires et cancer: aspects immunologiques 
WSBIM2122;Omics data analysis 
WSBIM2125;Atelier de modèles expérimentaux 
WSBIM2134;Physiopathologie de la nutrition 
WSBIM2136;Nutrition clinique 
WSBIM2137;Nutrition et environnement : aspects biologique et toxicologique 
WSBIM2138;Innovation and research in nutrition 
WSBIM2139;Développement durable et recherche: Green lab project 
WSBIM2141; Signalisation intercellulaire et biologie des tumeurs
WSBIM2142;Génétique et épigénétique des tumeurs 
WSBIM2143;Causes and risk factors for cancer 
WSBIM2144;Diagnostic et thérapie du cancer 
WSBIM2145;Modèles linéaires multi-prédicteurs appliqués aux sciences de la santé 
WSBIM2146;Toxicology and research I: BelTox meeting 
WSBIM2151;Experimental approaches in neuroscience 
WSBIM2152;Maladies nerveuses et psychiatriques, approches théoriques et translationnelles 
WSBIM2153;Neurosciences cognitives 
WSBIM2154;Neuro-anatomie et techniques d'imagerie anatomo-fonctionnelles 
WSBIM2155;Neurobiologie du développement 
WSBIM2156;Projet d¿électrophysiologie animale et humaine 
WSBIM2157;Toxicants in Ecosystems and Humans: Biomonitoring, Exposure and Accumulation 
WSBIM2159;Approche médico-légale : pathologie forensique en toxicologie 
WSBIM2161;Stage en sciences biomédicales cliniques dans un service lié au secteur 
WSBIM2181;Aspects moléculaires et cellulaires de la nutrition 
WSBIM2185;Cellular and molecular pathophysiology of human diseases 
WSBIM2197;Stage en laboratoire (1re partie) 
WSBIM2198;Pré mémoire en sciences biomédicales 
WSBIM2215;Régulations post-traductionnelles des protéines 
WSBIM2218;Special issues in molecular and cellular pathophysiology 
WSBIM2230;Biochimie des erreurs innées du métabolisme 
WSBIM2237;Nutrition et environnement : aspect sociétal 
WSBIM2238; Nutrition spécialisée
WSBIM2239;Nutrition et santé publique 
WSBIM2240;Evaluation quantitative des risques 
WSBIM2244;Special issues in cancerology 
WSBIM2245;In-session seminar in biomedicine 
WSBIM2246; Toxicologie clinique
WSBIM2250;Toxicology and research II: BLT meeting 
WSBIM2251;Neural networks and Deep Learning 
WSBIM2253;Advanced issues in cognitive neuroscience 
WSBIM2255;Seminar on neurological and psychiatric disease 
WSBIM2271;International research internship 
WSBIM2272;Work placement 
WSBIM2273;Research placement 
WSBIM2280;Scientific communication workshop 
WSBIM2285;Biomedical project design, Pathophysiology 
WSBIM2290;Introduction à la science des animaux de laboratoire 
WSBIM2292;Médecine et science des animaux de laboratoire 
WSBIM2297;Stage en laboratoire (2e partie) 
WSBIM2298;Mémoire expérimental en sciences biomédicales 
WSPIN2210;Psychologie et promotion de la santé (UCLouvain) 
WSPIN2212;Approche systémique pour la gouvernance des soins de santé (UCLouvain) 
WSPIN2213;Evaluation socio-anthropologique en santé internationale (UCLouvain) 
WSPIN2214;Outils et méthodes d'évaluation médico-économique (UCLouvain) 
WSPIN2216;Projet intégrateur (UCLouvain/ULB) 
WSPIN2231;Politiques de santé (UCLouvain) 
WTRSF2100;Introduction à l'immunologie - Immunologie érythrocytaire et applications cliniques 
WTRSF2101;Immunologie leuco-plaquettaire : techniques et situations cliniques 
WTRSF2102;Médecine du don 
WTRSF2103;Hémostase et médicaments dérivés du plasma 
WTRSF2104;Préparation des composants sanguins 
WTRSF2105;Maladies transmissibles par transfusion 
WTRSF2106;Contexte légal, éthique et responsabilité médicale 
WTRSF2107;Transfusion clinique 
WTRSF2108;Assurance qualité en transfusion 
WTRSF2109;Hémovigilance des donneurs et des receveurs - Réactions transfusionnelles 
WTRSF2110;Stage - Visite sur le terrain 
WTRSF2111;Organisation transfusionnelle 
WTRSF2112;Thérapie cellulaire 
WTRSF2113;Travail de fin d'études 
WTRSF2114;Transfusion dans les pays à ressources limitées 
WURO2313;Questions spéciales d'urologie (U et IU) 3° année 
WURO2314;Questions spéciales d'urologie (U et IU) 4° année 
WURO2315;Questions spéciales d'urologie (U et IU) 5° année 
WURO2316;Questions spéciales d'urologie (U et IU) 6° année 
WURO2375;Mémoire d'urologie, 1re partie 
WURO2376;Mémoire d'urologie 2° partie 
WURO2383;Stages cliniques d'urologie 3° année, 1re partie 
WURO2384;Stages cliniques d'urologie 4° année, 1re partie 
WURO2385;Stages cliniques d'urologie 5° année, 1re partie 
WURO2386;Stages cliniques d'urologie 6° année, 1re partie 
WURO2393;Stages cliniques d'urologie 3e année, 2e partie 
WURO2394;Stages cliniques d'urologie 4° année, 2° partie 
WURO2395;Stages cliniques d'urologie 5° année, 2° partie 
WURO2396;Stages cliniques d'urologie 6° année, 2° partie 
